ECE 111,ECE 112,ECE 114,ECE 121,ECE 122,ECE 131,ECE 132,ECE 133,ECE 141,ECE 143,ECE 142,ECE 146,ECE 152,ECE 153,ECE 156,ECE 151,ECE 154,ECE 158,ECE 155,ECE 162,ECE 160,ECE 163,ECE 164,ECE 166,ECE 168,ECE 202,ECE 167,MATAVE,GENENGAVE,ELECENGAVE,ELECSYSAVE,NATSCIAVE,BASENSCIAVE,ALCOUAVE,PROAVE,PERFORMANCE
2.25,2.95,2.0,2.0,2.5,2.15,2.5,2.5,2.0,3.0,2.75,2.25,2.5,2.5,3.0,2.5,2.35,2.5,2.25,3.0,2.5,2.25,2.5,2.25,2.25,2.5,3.0,2.44,2.465,2.516666667,2.583333333,2.25,2.383333333,2.5,2.489285714,0
2.8,2.75,2.6,2.05,2.6,2.3,3.0,2.0,2.6,2.85,2.0,1.75,2.7,2.5,2.25,2.9,2.45,2.8,2.75,2.75,3.0,2.0,1.25,1.75,1.75,1.75,2.75,2.42,2.34,2.6,2.766666667,2.325,2.433333333,2.3,2.328571429,0
2.75,3.0,2.5,2.0,2.2,2.05,2.25,2.25,1.75,2.75,3.0,1.75,2.5,3.0,2.5,2.5,2.2,2.75,2.75,3.0,2.5,2.5,2.5,2.0,1.95,1.45,2.75,2.65,2.25,2.575,2.833333333,2.1,2.183333333,2.3125,2.435714286,0
2.7,3.15,2.75,1.75,1.8,1.9,2.25,2.0,2.05,2.7,2.35,2.25,2.5,2.0,1.75,1.75,1.85,2.75,1.75,2.75,1.5,2.0,2.5,2.0,2.25,1.25,2.5,2.72,2.08,1.933333333,2.416666667,1.775,2.05,2.3375,2.042857143,1
2.75,2.85,2.0,1.85,2.25,2.25,2.5,2.25,1.75,2.75,2.25,1.75,2.5,2.75,2.25,2.25,2.6,2.5,2.0,3.0,2.25,2.5,2.5,2.25,2.25,2.15,3.0,2.52,2.185,2.558333333,2.5,2.05,2.333333333,2.125,2.410714286,0
2.5,2.75,2.25,2.15,2.15,2.1,2.0,2.25,1.75,2.75,2.5,1.75,2.25,2.75,2.5,2.5,2.25,2.75,2.5,2.75,2.5,2.5,2.5,2.0,2.0,1.5,2.5,2.45,2.19,2.5,2.666666667,2.15,2.116666667,2.1875,2.375,0
2.7,2.85,2.5,2.05,2.5,2.15,2.75,1.75,1.75,2.75,2.6,1.75,2.75,2.75,2.5,2.25,2.15,3.0,2.25,2.75,2.5,2.5,2.5,2.0,2.5,1.0,2.75,2.66,2.255,2.483333333,2.666666667,2.275,2.216666667,2.2125,2.385714286,0
2.75,2.75,1.75,1.95,1.5,1.75,2.25,2.0,2.5,2.25,2.45,2.0,2.0,2.0,1.75,2.25,1.25,2.0,2.25,2.25,2.0,2.5,2.25,1.75,2.25,1.5,1.75,2.3,2.04,1.958333333,2.166666667,1.725,2.0,2.3,2.0,0
3.0,3.0,3.0,2.0,1.9,2.25,2.5,2.5,1.5,3.0,2.25,2.75,3.0,2.5,2.25,3.0,2.4,2.75,2.75,2.75,2.5,2.0,3.0,2.0,2.0,1.5,2.0,3.0,2.29,2.4,2.75,1.95,2.416666667,2.375,2.457142857,1
3.0,2.75,2.25,2.05,2.5,1.75,2.5,2.0,1.75,2.25,2.8,1.75,2.0,3.0,2.0,2.75,2.25,2.75,2.75,2.5,2.5,2.5,2.5,2.0,2.25,1.5,2.0,2.5,2.135,2.5,2.666666667,2.275,2.083333333,2.1375,2.375,1
2.0,2.5,1.5,1.75,1.75,2.0,2.5,2.25,2.25,2.5,2.5,2.0,2.0,2.25,2.0,2.25,2.25,2.25,2.5,2.5,2.5,2.25,3.0,1.75,2.25,1.5,2.5,2.2,2.15,2.333333333,2.416666667,1.75,2.25,2.3125,2.232142857,1
2.75,3.0,2.25,1.8,1.75,2.25,2.0,2.5,2.0,2.75,2.5,1.75,2.5,2.75,2.25,2.75,2.15,1.5,2.5,2.75,2.5,2.5,3.0,2.0,2.0,1.5,2.25,2.7,2.155,2.483333333,2.25,1.775,2.25,2.25,2.332142857,1
2.75,2.5,2.25,2.25,2.85,2.25,2.75,2.25,2.3,5.0,2.15,2.25,5.0,1.75,2.25,2.5,2.25,2.5,2.75,3.0,2.25,2.25,2.25,2.0,2.0,2.5,2.75,2.95,2.63,2.291666667,2.75,2.55,2.416666667,2.925,2.517857143,0
2.75,2.75,2.0,1.9,1.5,2.25,2.5,2.0,2.25,3.0,2.45,2.0,1.75,3.0,2.0,2.75,1.75,2.0,2.75,2.25,2.25,2.5,3.0,2.0,1.75,1.25,2.0,2.45,2.185,2.375,2.333333333,1.7,2.25,2.425,2.214285714,1
2.75,2.75,2.25,1.95,1.5,2.0,2.75,2.0,2.5,2.25,2.45,2.5,2.25,2.75,2.0,2.75,2.25,2.5,2.75,2.5,2.0,2.5,2.25,1.75,2.25,1.5,2.0,2.45,2.19,2.375,2.583333333,1.725,2.25,2.425,2.285714286,1
2.75,3.0,2.5,2.0,2.2,2.05,2.25,2.25,1.75,2.75,3.0,1.75,2.5,3.0,2.5,2.5,2.2,2.75,2.75,3.0,2.5,2.5,2.5,2.0,1.95,1.45,2.75,2.65,2.25,2.575,2.833333333,2.1,2.183333333,2.3125,2.435714286,0
1.75,2.25,2.0,1.85,1.75,1.75,2.0,2.5,2.0,2.5,2.45,1.75,1.5,2.25,2.0,2.0,1.25,1.75,2.25,2.0,2.0,1.75,2.0,1.75,2.0,1.25,2.0,1.9,2.055,1.875,2.0,1.8,2.083333333,2.175,1.839285714,1
2.5,2.75,2.0,1.75,1.75,2.0,2.0,2.0,2.5,2.75,2.55,1.75,2.25,2.25,2.0,2.25,1.75,2.0,2.5,2.5,2.25,2.5,2.5,2.0,2.0,1.5,2.25,2.4,2.105,2.208333333,2.333333333,1.75,2.0,2.3875,2.160714286,1
2.65,2.75,2.5,2.1,2.75,1.85,2.85,3.0,2.4,2.7,2.35,1.9,2.75,3.45,2.5,2.85,2.35,2.7,2.4,2.5,2.45,2.0,2.25,2.0,2.0,2.0,2.6,2.58,2.44,2.616666667,2.533333333,2.425,2.566666667,2.3375,2.442857143,0
2.75,2.85,2.0,1.85,2.25,2.25,2.5,2.25,1.75,2.75,2.25,1.75,2.5,2.75,2.25,2.25,2.6,2.5,2.0,3.0,2.25,2.5,2.5,2.25,2.25,2.15,3.0,2.52,2.185,2.558333333,2.5,2.05,2.333333333,2.125,2.410714286,0
2.5,2.25,1.75,1.9,1.5,2.5,2.5,2.0,2.25,2.5,2.55,2.0,2.25,3.0,2.0,2.5,2.5,2.25,2.5,2.25,2.25,2.5,3.0,1.5,1.75,1.25,2.25,2.35,2.17,2.5,2.333333333,1.7,2.333333333,2.325,2.25,1
